8,8.8957,32.6872
9,8.8957,32.6875
10,8.892,32.6874
11,8.8925,32.6869
12,8.8907,32.687
13,8.8897,32.6872
14,8.8889,32.6874
15,8.8888,32.6872
16,8.8889,32.6872
17,8.8892,32.6873
18,8.8895,32.6872
19,8.889,32.6873
20,8.8885,32.6874
21,8.8891,32.6872
22,8.8893,32.6872
23,8.8892,32.6872
24,8.8891,32.6867
25,8.889,32.6871
26,8.8889,32.6872
27,8.8894,32.6873
28,8.8891,32.6873
29,8.8892,32.687
30,8.8891,32.687
31,8.8891,32.6871
32,8.8894,32.687
33,8.8898,32.6871
34,8.8912,32.6872
35,8.8913,32.6872
36,8.8931,32.6874
37,8.8933,32.6872
38,8.8934,32.6872
39,8.8933,32.6872
40,8.8929,32.6871
41,8.8931,32.6872
42,8.893,32.6871
43,8.8909,32.6875
44,8.8911,32.6874
45,8.8908,32.6873
46,8.8905,32.6874
47,8.8911,32.6872
48,8.891,32.687
49,8.891,32.687
50,8.8886,32.6873
51,8.8853,32.688
52,8.883,32.6879
53,8.8137,32.6951
54,8.7855,32.6991
55,8.7697,32.7
56,8.7426,32.7048
57,8.7264,32.7069
58,8.6984,32.7088
59,8.6458,32.7131
60,8.5484,32.7236
61,8.3932,32.7389
62,8.1275,32.7618
63,7.8161,32.7918
64,7.2445,32.8392
65,6.5827,32.9023
66,5.7399,32.9737
67,5.0053,33.038
68,4.7236,33.0576
69,4.6004,33.0702
70,4.5733,33.0753
71,4.5555,33.0805
72,4.5523,33.09
73,4.5385,33.1005
74,4.5406,33.1073
75,4.5393,33.1092
76,4.5358,33.1102
77,4.5318,33.1107
78,4.5166,33.1103
79,4.5065,33.112
80,4.4888,33.1131
81,4.471,33.1135
82,4.4665,33.1113
83,4.4227,33.1096
84,4.4151,33.109
85,4.4054,33.1099
86,4.3859,33.11
87,4.3597,33.1101
88,4.343,33.1104
89,4.3315,33.1104
90,4.2859,33.1084
91,4.2588,33.1084
92,4.2446,33.1083
93,4.2283,33.1086
94,4.2094,33.1093
95,4.1868,33.1091
96,4.164,33.1118
97,4.1887,33.1245
98,4.2893,33.1449
99,4.2248,33.1401
100,4.1927,33.1389
101,4.2089,33.1448
102,4.321,33.1745
103,4.3587,33.181
104,4.3536,33.181
105,4.3586,33.1838
106,4.372,33.1916
107,4.3939,33.2003
108,4.2363,33.1832
109,4.1805,33.1821
110,4.1936,33.1868
111,4.217,33.1934
112,4.1909,33.1935
113,4.1996,33.2026
114,4.2276,33.2159
115,4.2463,33.2233
116,4.2499,33.232
117,4.2987,33.2526
118,4.3101,33.2564
119,4.2817,33.2552
120,4.2189,33.2598
121,4.2787,33.279
122,4.3118,33.2873
123,4.2717,33.2881
124,4.2179,33.2864
125,4.2133,33.2918
126,4.2416,33.302
127,4.1753,33.3106
128,4.1578,33.3144
129,4.1461,33.3101
130,4.0829,33.3238
131,4.0539,33.3245
132,3.9867,33.3202
133,3.9286,33.3257
134,3.9033,33.3358
135,3.8906,33.3529
136,3.8836,33.3703
137,3.8906,33.3744
138,3.8959,33.3811
139,3.9018,33.3946
140,3.9114,33.4282
141,3.9131,33.4343
142,3.9203,33.4421
143,3.9306,33.4464
144,4.0045,33.4674
145,4.1068,33.497
146,4.124,33.502
147,4.1339,33.5233
148,4.1091,33.5308
149,4.1132,33.5411
150,4.1218,33.5493
151,4.135,33.5584
152,4.1377,33.5607
153,4.1375,33.5621
154,4.1368,33.5643
155,4.1321,33.5683
156,4.1215,33.5747
157,4.1126,33.5783
158,4.0955,33.58
159,4.0675,33.5805
160,4.0225,33.5834
161,4.0094,33.5847
162,4.0062,33.5847
163,4.0017,33.5849
164,3.9918,33.5856
165,3.9857,33.5861
166,3.9623,33.5877
167,3.9246,33.5868
168,3.8871,33.5839
169,3.8053,33.5805
170,3.7944,33.5814
171,3.7864,33.5829
172,3.7944,33.5884
173,3.7773,33.5904
174,3.769,33.5907
175,3.7306,33.588
176,3.7069,33.5902
177,3.7041,33.5912
178,3.702,33.5927
179,3.7009,33.5943
180,3.6991,33.5966
181,3.693,33.6005
182,3.6779,33.606
183,3.6749,33.6072
184,3.6662,33.6097
185,3.657,33.6111
186,3.6454,33.6134
187,3.636,33.6152
188,3.6301,33.6178
189,3.6288,33.6198
190,3.6315,33.6239
191,3.6323,33.6248
192,3.6331,33.6272
193,3.63,33.6288
194,3.6297,33.6301
195,3.632,33.6303
196,3.6312,33.6312
197,3.6052,33.631
198,3.5959,33.6373
199,3.6173,33.6443
200,3.6131,33.6442
201,3.6124,33.6454
202,3.6052,33.6469
203,3.5947,33.6461
204,3.5841,33.6469
205,3.5835,33.6487
206,3.6032,33.6534
207,3.6113,33.6567
208,3.6086,33.6573
209,3.6101,33.6581
210,3.5962,33.6601
211,3.5588,33.6574
212,3.5663,33.6597
213,3.5805,33.6633
214,3.5818,33.6647
215,3.5863,33.6668
216,3.589,33.6687
217,3.6005,33.6751
218,3.6063,33.6798
219,3.6093,33.6826
220,3.6011,33.6764
221,3.6117,33.6844
222,3.6124,33.6844
223,3.6158,33.687
224,3.6254,33.691
225,3.6284,33.6942
226,3.6288,33.6956
227,3.627,33.6967
228,3.6218,33.6968
229,3.6224,33.6981
230,3.6277,33.6994
231,3.6318,33.7005
232,3.6331,33.7022
233,3.6314,33.7032
234,3.6328,33.7043
235,3.6328,33.7052
236,3.6323,33.7075
237,3.6367,33.7098
238,3.6372,33.7103
239,3.6392,33.7121
240,3.6422,33.7145
241,3.6381,33.7148
242,3.6217,33.714
243,3.6212,33.7137
244,3.6054,33.7151
